Account_ID,Customer_ID,Account_Type,Currency,Account_Creation_Date,Current_Balance,Date_Last_Bank_Initiated_Activity,Date_Last_Customer_Communication_Any_Type,FTD_Maturity_Date,FTD_Auto_Renewal,Date_Last_FTD_Renewal_Claim_Request,Inv_Maturity_Redemption_Date,SDB_Charges_Outstanding,Date_SDB_Charges_Became_Outstanding,SDB_Tenant_Communication_Received,Unclaimed_Item_Trigger_Date,Unclaimed_Item_Amount,Date_Last_Cust_Initiated_Activity,Bank_Contact_Attempted_Post_Dormancy_Trigger,Date_Last_Bank_Contact_Attempt,Customer_Responded_to_Bank_Contact,Date_Claim_Received,Claim_Successful,Amount_Paid_on_Claim,Scenario_Notes,Customer_Address_Known,Customer_Has_Active_Liability_Account,Customer_Has_Litigation_Regulatory_Reqs,Holder_Has_Activity_On_Any_Other_Account,Is_Asset_Only_Customer_Type,Expected_Account_Dormant,Expected_Requires_Article_3_Process,Expected_Transfer_to_CB_Due
ACC000001,CUST001823,investment,USD,2019-01-18,385232.59,2023-02-08,2023-10-28,,,,2024-07-07,no,,,,0.0,2019-08-10,yes,2023-06-04,yes,,no,0.0,Dormant check,no,no,yes,yes,no,no,yes,no
ACC000002,CUST000866,current,USD,2022-08-06,155699.47,2022-09-20,2024-09-03,,,,,no,,,,0.0,2025-04-22,no,,yes,2022-11-13,pending,0.0,,yes,yes,no,yes,yes,yes,no,no
ACC000003,CUST000126,cashier_order,SAR,2021-10-09,137567.91,2022-07-26,2023-08-31,,,,,no,,,2022-08-29,810.31,2024-01-30,no,,no,,no,0.0,Regular review,no,yes,no,yes,no,no,yes,yes
ACC000004,CUST001182,safe_deposit_box,GBP,2022-10-20,954437.01,2024-09-08,2024-08-24,,,,,yes,2024-09-28,yes,,0.0,2024-11-08,no,,no,2024-08-29,no,0.0,,no,yes,no,no,no,no,no,yes
ACC000005,CUST001777,current,GBP,2020-01-19,429044.35,2021-01-21,2023-08-05,,,,,no,,,,0.0,2021-10-22,yes,2023-12-01,yes,,no,0.0,Regular review,yes,no,yes,no,yes,no,yes,yes
ACC000006,CUST000329,fixed_deposit,AED,2020-10-21,30371.58,2021-05-19,2022-05-29,2022-04-26,yes,2025-02-19,,no,,,,0.0,2021-03-05,no,,no,,no,0.0,Dormant check,no,yes,no,yes,yes,yes,yes,yes
ACC000007,CUST000818,fixed_deposit,INR,2022-08-13,309566.81,2023-09-25,2024-09-01,2023-12-11,yes,2024-09-14,,no,,,,0.0,2024-07-26,yes,2023-04-02,yes,,no,0.0,Regular review,no,yes,no,no,no,yes,yes,no
ACC000008,CUST000692,bank_draft,SAR,2018-04-02,344498.54,2022-01-03,2025-02-01,,,,,no,,,2020-06-07,24.99,2020-03-03,no,,no,2024-11-02,yes,3.93,Regular review,no,no,yes,yes,no,yes,no,no
ACC000009,CUST000929,safe_deposit_box,AED,2021-07-03,214679.42,2021-08-15,2024-12-13,,,,,yes,2022-10-19,yes,,0.0,2022-03-14,no,,yes,,no,0.0,,no,yes,yes,yes,no,yes,yes,no
ACC000010,CUST001496,bank_draft,AED,2020-12-12,698068.26,2022-02-05,2023-11-30,,,,,no,,,2021-02-06,672.51,2021-10-15,yes,2024-02-25,no,,no,0.0,,no,yes,yes,yes,yes,no,no,no
ACC000011,CUST000927,safe_deposit_box,AED,2016-08-16,23573.27,2024-09-01,2024-07-06,,,,,yes,2018-12-05,yes,,0.0,2021-06-06,yes,2023-09-08,yes,2018-06-13,pending,0.0,Regular review,no,yes,no,yes,yes,no,yes,yes
ACC000012,CUST000009,current,SAR,2021-03-23,392722.22,2023-03-08,2024-04-10,,,,,no,,,,0.0,2022-06-27,yes,2021-08-26,no,2023-08-01,no,0.0,Regular review,yes,yes,no,no,yes,no,no,yes
ACC000013,CUST001304,bank_draft,EUR,2022-06-20,741651.72,2024-06-16,2024-02-18,,,,,no,,,2022-11-11,904.98,2024-09-06,yes,2025-02-04,yes,2025-01-20,pending,0.0,Regular review,yes,yes,yes,yes,yes,no,no,no
